,split,source_language,target_language
4853,train,i 'm sick of this game .,j'en ai marre de ce jeu .
4854,train,i 'm pretty busy .,je suis plutôt occupée .
4855,train,"i 'm really busy today , otherwise i would accept .","je suis vraiment occupée , aujourd'hui , sans quoi j'accepterais ."
4856,train,i 'm used to tom always yelling at me .,je suis habituée à ce que tom me crie tout le temps dessus .
4857,train,i 'm not sure of anything .,je ne suis sûre de rien .
4858,train,i 'm glad you were n't injured .,je me réjouis que vous n'ayez pas été blessé .
4859,train,i 'm certain that i 'll win the tennis match .,je suis sûre de remporter le match de tennis .
4860,train,i 'm still thirsty .,j'ai toujours soif .
4861,train,i 'm sure you wo n't disappoint me .,je suis certaine que vous ne me décevrez pas .
4862,train,i 'm happy to see you again .,je suis content de vous revoir .
4863,train,i 'm terrified .,je suis terrifié .
4864,train,i 'm concerned .,je suis préoccupé .
4865,train,i 'm running out of ideas .,je suis à court d'idées .
4866,train,i 'm afraid i have to ask you to leave .,j'ai bien peur de devoir vous demander de partir .
4867,train,i 'm not suggesting anything .,je ne suggère rien .
4868,train,i 'm afraid i do n't agree with you .,je crains de ne pas être d'accord avec vous .
4869,train,i 'm a little hungry .,j'ai un peu faim .
4870,train,i 'm definitely going crazy .,je deviens certainement fou .
4871,train,i 'm sorry if i 'm bothering you .,je suis désolé si je te dérange .
4872,train,i 'm afraid i do n't follow .,je crains de ne pas suivre .
4873,train,i 'm as shocked as you are .,je suis aussi choqué que toi .
4874,train,i 'm glad that makes you happy .,je suis contente que ça te rende heureux .
4875,train,i 'm doing the best i can .,je fais du mieux que je peux .
4876,train,i 'm glad you brought that up .,je suis ravie que vous ayez soulevé cela .
4877,train,i 'm inviting you .,je vous invite .
4878,train,i 'm not very hungry .,je n'ai pas très faim .
4879,train,i 'm sure we can trust tom .,je suis sûr que nous pouvons faire confiance à tom .
4880,train,i 'm doing well .,je vais bien .
4881,train,i 'm the oldest .,je suis le plus vieux .
4882,train,i 'm not insane .,je ne suis pas folle .
4883,train,i 'm a salesperson .,je suis un vendeur .
4884,train,i 'm a little child .,je suis un petit enfant .
4885,train,i 'm very fortunate .,j'ai la baraka .
4886,train,i 'm free now .,je suis libre maintenant .
4887,train,"i 'm only going to say this once , so listen carefully .","je ne vais dire ceci qu'une seule fois , alors écoute avec attention !"
4888,train,i 'm not one of them .,je ne fais pas partie de leur bande .
4889,train,i 'm about ready .,je suis presque prête .
4890,train,i 'm very strict .,je suis très stricte .
4891,train,i 'm yours .,je suis à vous .
4892,train,i 'm going to teach you some karate .,je vais t'enseigner un peu de karaté .
4893,train,i 'm a little busy .,je suis un peu occupé .
4894,train,i 'm glad you 're my friend .,je me réjouis que tu sois mon amie .
4895,train,i 'm really not all that hungry .,je n'ai vraiment pas aussi faim que ça .
4896,train,i 'm too old for her .,je suis trop vieux pour elle .
4897,train,i 'm sure that wo n't be necessary .,je suis certain que ce ne sera pas nécessaire .
4898,train,i 'm done with you .,j'en ai fini de vous .
4899,train,i 'm just waiting for a friend .,j'attends juste un ami .
4900,train,i 'm just an average guy .,je suis juste un mec normal .
4901,train,i 'm never angry without reason .,je ne suis jamais en colère sans raison .
4902,train,i 'm homesick .,j'ai le mal du pays .
4903,train,i 'm working on his car .,je travaille sur sa voiture .
4904,train,i 'm afraid i ca n't .,je suis désolé mais je ne peux pas .
4905,train,i 'm so sorry that i lied to you .,je suis si désolé de t'avoir menti .
4906,train,i 'm looking for my camera .,je cherche mon appareil photo .
4907,train,i 'm sorry that i have n't been able to be here for you .,je suis désolée d'avoir été dans l'incapacité d'être là pour vous .
4908,train,i 'm the boss .,je suis la patronne .
4909,train,i 'm sure i can find something for you to wear .,je suis sûre de pouvoir trouver quelque chose à te mettre .
4910,train,i 'm furious .,je suis furieux .
4911,train,i 'm not a cop .,je ne suis pas flic .
4912,train,i 'm not good at pretending .,je ne suis pas bon dans la simulation .
4913,train,i 'm very sorry i came home so late .,je suis vraiment désolée d'être rentré à la maison aussi tard .
4914,train,i 'm not sure if it 's a compliment or an insult .,je ne suis pas sûre s'il s'agit d'un compliment ou bien d'une insulte .
4915,train,i 'm glad you decided to come .,je me réjouis que tu aies décidé de venir .
4916,train,i 'm doing my best .,je fais de mon mieux .
4917,train,i 'm going to propose to her .,je vais la demander en mariage .
4918,train,i 'm glad you 're doing better .,je me réjouis que tu te portes mieux .
4919,train,i 'm not old enough .,je ne suis pas assez vieille .
4920,train,i 'm in the house .,je suis dans la maison .
4921,train,i 'm calling to report a lost wallet .,j'appelle pour signaler un portefeuille perdu .
4922,train,i 'm still studying french .,j'étudie toujours le français .
4923,train,"i 'm all thumbs when it comes to origami , or paper folding .",je suis très maladroit pour les origamis ou le pliage de papier .
4924,train,i 'm sure you have other skills .,je suis sûr que vous avez d'autres compétences .
4925,train,i 'm still not sure i can do that .,je ne suis toujours pas sûr que je puisse faire ça .
4926,train,i 'm going to miss you a lot .,vous allez beaucoup me manquer .
4927,train,i 'm not married to tom anymore .,je ne suis plus marié avec tom .
4928,train,i 'm unemployed .,je suis au chômage .
4929,train,i 'm not exactly surprised .,je ne suis pas tout à fait surpris .
4930,train,i 'm going to be on tv .,je vais passer à la télévision .
4931,train,i 'm not willing to cook dinner for twenty people .,je n'ai pas l'intention de préparer à diner pour vingt personnes .
4932,train,i 'm glad you enjoyed it .,je suis heureux que tu aies apprécié .
4933,train,i 'm assuming this is your father .,je suppose qu'il s'agit de ton père .
4934,train,i 'm afraid that 's impossible .,je crains que ce soit impossible .
4935,train,i 'm supposed to be the one helping you .,je suis supposée être celle qui t'aide .
4936,train,i 'm tall .,je suis grande .
4937,train,i 'm sorry . i forgot .,je suis désolée . j'ai oublié .
4938,train,i 'm not scared to die .,je ne crains pas de mourir .
4939,train,i 'm volunteering .,je fais du bénévolat .
4940,train,i 'm learning so much from you .,j'apprends tant de toi .
4941,train,i 'm not here to fight .,je ne suis pas là pour me battre .
4942,train,i 'm unbiased .,je suis impartial .
4943,train,i 'm not quite finished yet .,je n'en ai pas encore tout à fait terminé .
4944,train,i 'm glad you brought that up .,je suis ravi que vous ayez mis cela sur la table .
4945,train,i 'm not in that much of a hurry .,je ne suis pas si pressée .
4946,train,i 'm here to help you .,je suis ici pour t'aider .
4947,train,i 'm too busy .,je suis trop affairé .
4948,train,i 'm homeschooled .,je suis scolarisé à la maison .
4949,train,i 'm not going to skate today .,aujourd'hui je ne patinerai pas .
4950,train,i 'm busy all the time .,je suis toujours occupé .
4951,train,i 'm punctual .,je suis ponctuel .
4952,train,i 'm unhappy .,je suis mécontente .
4953,train,i 'm sure tom would be happy to help .,je suis sûr que tom serait heureux d'aider .
4954,train,i 'm glad to be the one who tells you .,je me réjouis d'être celui qui te l'annonce .
4955,train,i 'm not going to wait .,je ne vais pas attendre .
4956,train,i 'm right behind you .,je suis juste derrière vous .
4957,train,i 'm afraid of bats .,j'ai peur des chauves-souris .
4958,train,i 'm not really worried .,je ne suis pas vraiment inquiet .
4959,train,i 'm by your side .,je suis à vos côtés .
4960,train,i 'm right behind you .,je suis juste derrière toi .
4961,train,i 'm touched .,je suis touchée .
4962,train,i 'm still thinking about it .,j ' y songe encore .
4963,train,i 'm not young anymore .,je ne suis plus tout jeune .
4964,train,i 'm celebrating .,je fais la fête .
4965,train,"i 'm sorry , but he is n't home .","désolé , mais il n'est pas à la maison ."
4966,train,i 'm all out of ideas .,je suis dépourvu d'idées .
4967,train,i 'm not a psychic .,je ne suis pas devin .
4968,train,i 'm on vacation .,je suis en vacances .
4969,train,"i 'm not angry at you , just very disappointed .","je ne suis pas en colère après vous , seulement très déçu ."
4970,train,i 'm looking forward to visiting your country this winter .,je me prépare à visiter votre pays cet hiver .
4971,train,i 'm the spokesperson for this organization .,je suis le porte-parole de cette organisation .
4972,train,i 'm in way over my head .,je ne sais pas quoi faire .
4973,train,i 'm friends with a lot of cops .,je suis ami avec de nombreux flics .
4974,train,i 'm not busy right now .,je ne suis pas occupé pour le moment .
4975,train,i 'm going to be your lawyer .,je vais être votre avocat .
4976,train,i 'm not guilty .,je ne suis pas coupable .
4977,train,i 'm sneaky .,je suis sournoise .
4978,train,i 'm not finished with him .,je n'en ai pas fini avec lui .
4979,train,i 'm willing to help you if you want me to .,"je suis disposée à t'aider , si tu veux que je le fasse ."
4980,train,"i 'm sorry , i do n't understand .","je suis désolé , je ne comprends pas ."
4981,train,i 'm quite serious .,je suis très sérieux .
4982,train,i 'm beginning to see a pattern .,je commence à distinguer un schéma .
4983,train,i 'm looking for a job .,je cherche un emploi .
4984,train,i 'm fascinated by cats .,je suis fasciné par les chats .
4985,train,i 'm afraid he can not come .,je crains qu'il ne puisse venir .
4986,train,i 'm glad we saw tom .,je suis content que nous ayons vu tom .
4987,train,i 'm all yours .,je suis tout à toi .
4988,train,i 'm tired of waiting in line .,je suis fatiguée de faire la queue .
4989,train,i 'm feeling very confident .,je me sens très en confiance .
4990,train,i 'm saving money for a car .,je mets de l'argent de côté pour une voiture .
4991,train,i 'm pretty busy .,je suis plutôt occupé .
4992,train,i 'm certainly not your friend .,je ne suis certainement pas votre amie .
4993,train,i 'm starting to feel better already .,je commence à me sentir déjà mieux .
4994,train,i 'm okay .,je vais bien .
4995,train,i 'm pretty proud of that .,je suis assez fier de cela .
4996,train,i 'm right here .,je suis juste ici .
4997,train,i 'm proud of my father .,je suis fier de mon père .
4998,train,i 'm tired of waiting in line .,je suis fatiguée de faire la file .
4999,train,i 'm glad to see you in one piece .,heureux de te voir en un seul morceau !
5000,train,i 'm exhausted .,je suis crevé .
5001,train,i 'm sure i have the right number .,je suis convaincu d'avoir le bon numéro .
5002,train,i 'm waiting for my friend .,j'attends mon amie .
5003,train,i 'm not a criminal .,je ne suis pas un criminel .
5004,train,i 'm famous .,je suis connu .
5005,train,i 'm not interested in a relationship .,je ne suis pas intéressée par une relation .
5006,train,i 'm friends with all those guys .,je suis ami avec tous ces gars-là .
5007,train,i 'm looking forward to the party .,j'attends la fête avec impatience .
5008,train,i 'm not going to touch it .,je ne vais pas y toucher .
5009,train,i 'm your friend .,je suis ton amie .
5010,train,i 'm nervous and excited .,je suis nerveux et excité .
5011,train,i 'm used to getting up early .,j'ai l'habitude de me lever tôt .
5012,train,i 'm glad you brought that up .,je suis ravi que tu aies mis cela sur la table .
5013,train,i 'm as curious as you are .,je suis aussi curieux que vous .
5014,train,i 'm having the same problems .,je traverse les mêmes problèmes .
5015,train,i 'm not sure how to answer this .,je ne suis pas sûr de la manière avec laquelle répondre à ça .
5016,train,i 'm a stranger here .,je suis un étranger ici .
5017,train,i 'm creative .,je suis créative .
5018,train,i 'm not sure i can trust him .,je ne suis pas sûre de pouvoir lui faire confiance .
5019,train,i 'm just trying to make a buck .,j'essaie juste de faire du fric .
5020,train,i 'm not gon na do anything about it .,je ne vais rien y faire .
5021,train,i 'm resilient .,je suis endurante .
5022,train,i 'm not in that much of a hurry .,je ne suis pas tant pressé .
5023,train,i 'm impulsive .,je suis impulsif .
5024,train,i 'm from america .,je viens d'amérique .
5025,train,i 'm looking forward to the next time .,je suis impatient de la prochaine fois .
5026,train,i 'm going to take a shower .,je vais me doucher .
5027,train,i 'm not making it up .,je ne l'invente pas .
5028,train,i 'm lucky to have you as a friend .,je suis chanceux de vous avoir comme ami .
5029,train,i 'm not sure i can trust you .,je ne suis pas sûr que je puisse me fier à toi .
5030,train,i 'm not good with names .,j'ai du mal avec les noms .
5031,train,i 'm easygoing .,je suis facile à vivre .
5032,train,i 'm the middle child of three .,je suis le second de trois enfants .
5033,train,i 'm fat .,je suis gros .
5034,train,i 'm unbiased .,je suis impartiale .
5035,train,i 'm not amused .,ça ne m'amuse pas .
5036,train,"i 'm sorry , we do n't accept checks .","je suis désolé , nous n'acceptons pas les chèques ."
5037,train,i 'm here to protect you .,je suis là pour te protéger .
5038,train,i 'm pleased with their performance .,je suis satisfait de leur prestation .
5039,train,i 'm sure it 'll be easy to find a place .,je suis sûr qu'il sera simple de trouver un endroit .
5040,train,i 'm sorry that i did n't email you sooner .,je suis désolée de ne pas t'avoir envoyé un courriel plus tôt .
5041,train,i 'm allergic to corn .,je suis allergique au maïs .
5042,train,i 'm invited to tom 's party tonight .,je suis invité à la fête de tom ce soir .
5043,train,i 'm not hungry at all .,je n'ai pas faim du tout .
5044,train,"i 'm going to my room , so i can study .",je vais dans ma chambre pour pouvoir étudier .
5045,train,i 'm glad you 're here to help me with this .,je suis content que tu sois ici pour m'aider avec ça .
5046,train,i 'm always careful .,je suis toujours prudente .
5047,train,i 'm really shocked .,je suis vraiment choqué .
5048,train,i 'm going to teach you some karate .,je vais vous enseigner des rudiments de karaté .
5049,train,i 'm sure tom will know how to do it .,je suis sûre que tom saura comment faire .
5050,train,i 'm not ready to die .,je ne suis pas prête à mourir .
5051,train,i 'm still waiting for my order .,j'attends toujours ma commande .
5052,train,i 'm sure tom would be delighted .,je suis sûr que tom serait ravi .
5053,train,i 'm uninsured .,je ne suis pas assuré .
5054,train,"i 'm sorry , i ca n't stay long .","je m'excuse , je ne peux pas rester longtemps ."
5055,train,i 'm meditating .,je suis en train de méditer .
5056,train,i 'm still busy .,je suis encore occupée .
5057,train,i 'm going to be your teacher .,je vais être votre professeur .
5058,train,i 'm untalented .,je suis dépourvu de talent .
5059,train,"i 'm right , are n't i ?","j'ai raison , non ?"
5060,train,i 'm done with you .,j'en ai fini de toi .
5061,train,i 'm afraid we wo n't be able to help you tomorrow .,je crains que nous ne soyons pas en mesure de t'aider demain .
5062,train,i 'm sure tom is suffering .,je suis certain que tom souffre .
5063,train,i 'm more than happy .,je suis plus que contente .
5064,train,i 'm deeply offended by this .,je suis profondément offensée par ceci .
5065,train,"i 'm sorry , i could n't hear you .","je suis désolé , je n'ai pas pu vous entendre ."
5066,train,i 'm glad you decided to come .,je me réjouis que vous ayez décidé de venir .
5067,train,i 'm not feeling too well .,je ne me sens pas trop bien .
5068,train,i 'm not bluffing .,je suis sérieux .
5069,train,i 'm sorry i hurt you .,je suis désolé de t'avoir blessé .
5070,train,i 'm sorry if i embarrassed you .,je suis désolée si je vous ai embarrassées .
5071,train,i 'm sorry to have bothered you .,je suis désolée de t'avoir dérangé !
5072,train,i 'm certain of that .,j'en suis certain .
5073,train,i 'm sorry about your loss .,je suis désolée pour votre perte .
5074,train,i 'm using that cup .,je suis en train d'utiliser cette tasse .
5075,train,i 'm going back to the office .,je retourne au bureau .
5076,train,i 'm not sure about that .,je n'en suis pas sûr .
5077,train,i 'm not going away .,je ne m'en vais pas .
5078,train,i 'm seeing you in a new light .,je te vois sous un nouveau jour .
5079,train,i 'm ashamed of what i did .,j'ai honte de ce que j'ai fait .
5080,train,i 'm from zambia .,je suis de zambie .
5081,train,i 'm not going to go to boston next week .,je ne vais pas aller à boston la semaine prochaine .
5082,train,i 'm a little sick .,je suis un peu malade .
5083,train,i 'm resilient .,je suis endurant .
5084,train,i 'm going to give you one more chance .,je vais vous donner une chance de plus .
5085,train,i 'm against it .,je suis contre .
5086,train,i 'm buying a puppy .,j'achète un chiot .
5087,train,i 'm not wearing any underwear .,je ne porte aucun sous-vêtement .
5088,train,i 'm home all the time .,je suis à la maison tout le temps .
5089,train,i 'm sure they 'll win .,je suis sûr qu'elles vont gagner .
5090,train,i 'm not a vegetarian .,je ne suis pas végétarienne .
5091,train,i 'm going to go take a nap .,je vais piquer un somme .
5092,train,i 'm the boss .,je suis le patron .
5093,train,i 'm really glad you 're here .,je me réjouis vraiment que tu sois là .
5094,train,i 'm sorry about last night .,je suis désolée à propos de hier soir .
5095,train,i 'm aware of the facts .,je suis conscient des faits .
5096,train,i 'm looking for my passport . have you seen it ?,je cherche mon passeport . l'avez-vous vu ?
5097,train,i 'm not a patient person .,je ne suis pas quelqu'un de patient .
5098,train,i 'm still suffering from jet lag .,je souffre encore à cause du décalage horaire .
5099,train,i 'm on my way to visit a friend in the hospital .,je suis en route pour rendre visite à un ami à l'hôpital .
5100,train,i 'm really disappointed .,je suis vraiment déçu .
5101,train,"i 'm sorry , my father 's not here .","je suis désolé , mon père n'est pas là ."
5102,train,i 'm proud of you all .,je suis fier de vous tous .
5103,train,i 'm stubborn .,je suis têtu .
5104,train,i 'm sending you a birthday present by airmail .,je t'envoie un cadeau d'anniversaire par le courrier aérien .
5105,train,i 'm already rich .,je suis déjà riche .
5106,train,i 'm a stranger here myself .,"moi-même , je suis nouveau dans le coin ."
5107,train,i 'm going to figure this out .,je vais réfléchir à ça .
5108,train,"i 'm sorry , i did n't hear you .","je suis désolé , je ne t'ai pas entendu ."
5109,train,i 'm not a robot .,je ne suis pas un robot .
5110,train,i 'm glad that makes you happy .,je suis contente que ça vous rende heureux .
5111,train,i 'm a new student .,je suis un nouvel élève .
5112,train,i 'm all confused .,je suis très désorientée .
5113,train,i 'm looking for the perfect spot to hang this picture .,je cherche l'emplacement idéal pour accrocher ce tableau .
5114,train,i 'm sick of lying .,j'en ai marre de mentir .
5115,train,i 'm just guessing .,je ne fais que supposer .
5116,train,i 'm just watching television .,je suis juste en train de regarder la télé .
5117,train,"i 'm a professor , or rather an associate professor , to be exact .","je suis professeur , ou plutôt assistant professeur pour être exact ."
5118,train,i 'm glad you 're my friend .,je me réjouis que vous soyez mon amie .
5119,train,i 'm not discounting that possibility .,je n'écarte pas cette possibilité .
5120,train,i 'm just looking out for myself .,je m'inquiète pour moi .
5121,train,i 'm glad that tom is here .,je suis content que tom soit là .
5122,train,i 'm touched .,je suis touché .
5123,train,"i 'm sorry , we 're completely sold out .","je suis désolé , nous avons été dévalisés ."
5124,train,i 'm not following you .,je ne te suis pas .
5125,train,i 'm still concerned .,je suis toujours inquiet .
5126,train,i 'm not tired at all .,je ne suis pas fatigué du tout .
5127,train,i 'm sure everything will be fine .,je suis sûre que tout ira bien .
5128,train,i 'm just trying to be friendly .,j'essaie simplement d'être amical .
5129,train,i 'm really tired .,je suis vraiment fatigué .
5130,train,i 'm pleased with their performance .,je suis satisfaite de leur performance .
5131,train,i 'm back in business .,j'ai repris le business .
5132,train,i 'm leaving today .,je pars aujourd'hui .
5133,train,i 'm terrified .,je suis terrifiée .
5134,train,i 'm ambidextrous .,je suis ambidextre .
5135,train,i 'm really feeling kind of strange .,"je me sens étrange , d'une certaine manière ."
5136,train,i 'm doing this for my family .,je le fais pour ma famille .
5137,train,i 'm sorry for the pain i caused you and your family .,"je suis désolée pour la douleur que je vous ai causée , à toi et à ta famille ."
5138,train,i 'm going downtown .,je vais en ville .
5139,train,i 'm safe .,je suis en sécurité .
5140,train,i 'm not sure what you were thinking .,je ne suis pas certain de ce que vous pensiez .
5141,train,i 'm shocked .,je suis choquée .
5142,train,i 'm practically an adult already .,je suis déjà pratiquement adulte .
5143,train,i 'm not unsympathetic .,je n ' y suis pas hostile .
5144,train,i 'm sure my parents wo n't let me go by myself .,je suis certain que mes parents ne me laisseront pas y aller seul .
5145,train,i 'm getting too old for this .,je deviens trop vieux pour ça .
5146,train,i 'm astonished .,je suis stupéfait .
5147,train,i 'm dieting .,je suis au régime .
5148,train,i 'm afraid i 've offended you .,je crains de vous avoir offensés .
5149,train,i 'm winning .,je l'emporte .
5150,train,i 'm not the only one with a child .,je ne suis pas le seul avec un enfant .
5151,train,i 'm prepared .,je suis prêt .
5152,train,i 'm old enough to make my own decisions .,je suis assez grand pour prendre mes propres décisions .
5153,train,i 'm fussy .,je suis difficile .
5154,train,i 'm content with my salary .,je suis satisfait de mon salaire .
5155,train,i 'm back .,je suis revenu .
5156,train,i 'm going to be a teacher .,je vais être enseignante .
5157,train,i 'm feeling good .,je me sens bien .
5158,train,i 'm going to need some more time .,je vais avoir besoin de plus de temps .
5159,train,i 'm here for another reason .,je suis ici pour une autre raison .
5160,train,i 'm sad without you .,je suis triste sans vous .
5161,train,i 'm not as smart as you .,je ne suis pas aussi maligne que vous .
5162,train,i 'm as old as you .,je suis aussi âgé que vous .
5163,train,i 'm expecting a letter from her .,j'attends une lettre d'elle .
5164,train,i 'm not minimizing the consequences .,je ne suis pas en train de minimiser les conséquences .
5165,train,i 'm afraid i have to go now .,j'ai bien peur de devoir y aller maintenant .
5166,train,i 'm going to prepare for the final exams this afternoon .,je vais me préparer pour les examens finaux cette après-midi .
5167,train,i 'm extremely embarrassed that it has taken so long to reply .,je suis extrêmement embarrassée que ça ait pris autant de temps pour répondre .
5168,train,i 'm not talking about that .,je ne parle pas de ça .
5169,train,i 'm thinking of having dinner at 5 .,je pense dîner à 5 heures .
5170,train,i 'm going to stay there for about a week .,je vais rester là-bas pendant environ une semaine .
5171,train,i 'm feeling good this morning .,je me sens bien ce matin .
5172,train,i 'm going to go to the doctor this afternoon .,"je vais chez le médecin , cet après-midi ."
5173,train,i 'm not buying your story .,je ne gobe pas votre histoire .
5174,train,i 'm sleeping .,je suis en train de dormir .
5175,train,i 'm looking forward to meeting you all after such a long time .,j ’ ai hâte de vous revoir tous après tout ce temps .
5176,train,i 'm sure that 's wrong .,je suis sûr que c'est faux .
5177,train,i 'm innocent .,je suis innocente .
5178,train,i 'm glad to see you here .,je suis content de te voir ici .
5179,train,"i 'm sorry , i do n't recognize you .","je suis désolé , je ne te reconnais pas ."
5180,train,i 'm skinny .,je suis maigrichon .
5181,train,i 'm not married yet .,je ne suis pas encore mariée .
5182,train,i 'm already done .,j'ai déjà terminé .
5183,train,i 'm going to stop trying to be friendly with you .,je vais arrêter d'essayer d'être amicale avec vous .
5184,train,i 'm uncomfortable .,je suis gêné .
5185,train,i 'm contagious .,je suis contagieuse .
5186,train,i 'm devastated .,je suis anéanti .
5187,train,i 'm not afraid to fight .,je n'ai pas peur de me battre .
5188,val,i 'm not ready .,je ne suis pas prêt .
5189,val,i 'm going .,je pars .
5190,val,i 'm too tired to think about this problem now .,je suis trop fatigué pour réfléchir maintenant à ce problème .
5191,val,i 'm all confused .,je suis très désorienté .
5192,val,i 'm sure he mistook me for my sister .,je suis sûr qu'il m ' a confondu avec ma sœur .
5193,val,i 'm sorry about my mistake .,je suis désolé pour ce malentendu .
5194,val,"i 'm not sure what it was , but it sounded like a gunshot .","je ne suis pas sûre de ce dont il s'agissait , mais cela fit le bruit d'un coup de feu ."
5195,val,"i 'm only going to say this once , so you better listen .","je ne vais le dire qu'une seule fois , alors tu ferais mieux d'écouter ."
5196,val,i 'm worn out .,je suis épuisé .
5197,val,i 'm not tired yet .,je ne suis pas encore fatigué .
5198,val,i 'm happy you liked it .,je suis heureuse que vous l'ayez aimé .
5199,val,i 'm not even sure i want to see that movie .,je ne suis même pas sûre de vouloir voir ce film .
5200,val,i 'm always surprised by him .,il ne cesse de me surprendre .
5201,val,i 'm sorry if i scared you .,désolé si je vous ai fait peur .
5202,val,i 'm sure i 'll be fine .,je suis sûr que ça ira bien pour moi .
5203,val,i 'm fed up with your constant complaining .,j'en ai marre de t'entendre râler constamment .
5204,val,i 'm broke and tired .,je suis sur la paille et fatigué .
5205,val,i 'm not delusional .,je ne souffre pas de lubies .
5206,val,i 'm waiting for a train .,j'attends un train .
5207,val,i 'm uninsured .,je ne suis pas assurée .
5208,val,i 'm feeling sort of tired .,je me sens plutôt fatigué .
5209,val,i 'm going to call it a night .,je vais prendre congé pour cette nuit .
5210,val,i 'm three years younger than you .,je suis trois ans plus jeune que toi .
5211,val,i 'm not your enemy .,je ne suis pas votre ennemi .
5212,val,i 'm twice your age .,j'ai le double de ton âge .
5213,val,i 'm quite sure of that .,j'en suis quasiment certain .
5214,val,i 'm unnecessary here .,je ne suis pas utile ici .
5215,val,i 'm proud of you guys .,"je suis fière de vous , les mecs ."
5216,val,i 'm offended .,je suis offensé .
5217,val,i 'm sorry i did n't make it to your party .,je suis désolée de ne pas avoir pu assister à ta fête .
5218,val,i 'm supposed to be the one helping you .,je suis supposée être celle qui vous aide .
5219,val,i 'm in a hurry today .,je suis pressé aujourd'hui .
5220,val,i 'm not selling you my car .,je refuse de te vendre ma voiture .
5221,val,i 'm interfering .,je me mêle de ce qui ne me regarde pas .
5222,val,i 'm not completely naive .,je ne suis pas complètement naïve .
5223,val,i 'm no one 's girlfriend .,je suis la petite amie de personne .
5224,val,i 'm desperate .,je suis désespéré .
5225,val,i 'm not short .,je ne suis pas petite .
5226,val,i 'm so full .,je suis tellement rassasié .
5227,val,"i 'm kind of busy right now , tom .","je suis assez occupé , tom ."
5228,val,i 'm not sure i can trust him .,je ne suis pas sûr de pouvoir me fier à lui .
5229,val,i 'm lucky .,je suis veinard .
5230,val,i 'm going to get myself some coffee . do you want some ?,je vais me chercher du café . en voulez-vous ?
5231,val,i 'm afraid i 've offended you .,je crains de t'avoir offensée .
5232,val,i 'm waiting for my mother .,j'attends ma mère .
5233,val,i 'm not available .,je ne suis pas disponible .
5234,val,i 'm going to miss your cooking .,ta cuisine me manquera .
5235,val,"i 'm sorry , we 're completely sold out .","je suis désolée , nous avons tout vendu ."
5236,val,i 'm very proud of my daughter .,je suis très fier de ma fille .
5237,val,"i 'm not talking to you , tom .","je ne vous parle pas , tom ."
5238,val,i 'm not surprised you do n't remember .,je ne suis pas surpris que tu ne t'en souviennes pas .
5239,val,i 'm not the boss .,je ne suis pas la patronne .
5240,val,i 'm allergic to seafood .,je suis allergique aux fruits de mer .
5241,val,i 'm not so sure .,je n'en suis pas si sûr !
5242,val,i 'm not exactly sure .,je n'en suis pas tout à fait sûre .
5243,val,i 'm from kyoto .,je suis de kyoto .
5244,val,i 'm very glad to see you again .,je suis très contente de te revoir .
5245,val,i 'm getting sleepy again .,je commence à avoir à nouveau sommeil .
5246,val,i 'm learning music .,j'étudie la musique .
5247,val,i 'm not eating this .,je ne vais pas manger ça .
5248,val,i 'm too busy .,je suis trop occupée .
5249,val,i 'm glad you were n't here .,je me réjouis que vous n'étiez pas ici .
5250,val,i 'm sorry i 'm calling you at work .,je suis désolée de t'appeler au travail .
5251,val,i 'm not answering that .,je ne vais pas y répondre .
5252,val,i 'm faithful to my wife .,je suis fidèle envers ma femme .
5253,val,i 'm proud to have him as a friend .,je suis fier de l'avoir pour ami .
5254,val,i 'm glad to be here .,je suis content d'être ici .
5255,val,i 'm declaring an emergency .,je lance un signal de détresse .
5256,val,i 'm not a gambler .,je ne suis pas joueur .
5257,val,i 'm a little tired .,je suis un peu fatigué .
5258,val,i 'm on my way to work .,je suis sur le chemin du travail .
5259,val,i 'm anxious whether i 'll do well at this new job .,je m'inquiète de savoir si je vais réussir dans ce nouvel emploi .
5260,val,i 'm not asleep .,je ne suis pas endormie .
5261,val,i 'm sorry for what i did .,désolé de ce que j'ai fait .
5262,val,i 'm not persuaded .,je ne suis pas convaincu .
5263,val,i 'm seeing her this evening .,je la vois ce soir .
5264,val,i 'm going to be out today .,"je vais être à l'extérieur , aujourd'hui ."
5265,val,i 'm no different .,je ne suis pas différent .
5266,val,i 'm going to see mary this afternoon .,j'ai l'intention de voir mary cet après-midi .
5267,val,i 'm a windows person .,je suis branché windows .
5268,val,i 'm different .,je suis différente .
5269,val,i 'm sure we can work this out .,je suis sûr que nous pouvons arranger ça .
5270,val,i 'm three blocks away .,j'habite à trois pâtés de maison d'ici .
5271,val,i 'm sure there 's another way out .,je suis sûr qu'il y a un autre chemin de sortie .
5272,val,i 'm asking you for your help .,je requiers ton aide .
5273,val,i 'm willing to help you if you want me to .,"je suis disposé à t'aider , si tu veux que je le fasse ."
5274,val,i 'm not going to stop working .,je ne vais pas m'arrêter de travailler .
5275,val,i 'm not a thief .,je ne suis pas un voleur .
5276,val,"i 'm sorry , but i ca n't go with you .","désolé , mais je ne peux pas venir avec vous ."
5277,val,i 'm not writing about you .,je n'écris pas à ton sujet .
5278,val,i 'm very poor .,je suis très pauvre .
5279,val,i 'm staying over at my friend 's place .,je passe la nuit chez mon ami .
5280,val,i 'm stuffed .,je suis gavée .
5281,val,i 'm not understanding anything .,je ne comprends rien .
